"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","78","Главная страница содержит заголовок","","Fri Dec 12 11:31:36 UTC 2025","failed","Fri Dec 12 11:31:36 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","55","Главная страница содержит заголовок","","Fri Dec 12 11:31:35 UTC 2025","failed","Fri Dec 12 11:31:35 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","77","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:31 UTC 2025","failed","Fri Dec 12 11:31:31 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","45","Главная страница содержит заголовок","","Fri Dec 12 11:31:45 UTC 2025","failed","Fri Dec 12 11:31:45 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","44","Главная страница содержит заголовок","","Fri Dec 12 11:31:45 UTC 2025","failed","Fri Dec 12 11:31:45 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","38","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:49 UTC 2025","failed","Fri Dec 12 11:31:49 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","42","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:31 UTC 2025","failed","Fri Dec 12 11:31:31 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","47","Главная страница содержит заголовок","","Fri Dec 12 11:31:44 UTC 2025","failed","Fri Dec 12 11:31:45 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","63","Главная страница содержит заголовок","","Fri Dec 12 11:31:44 UTC 2025","failed","Fri Dec 12 11:31:44 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","54","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:30 UTC 2025","failed","Fri Dec 12 11:31:30 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","70","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:41 UTC 2025","failed","Fri Dec 12 11:31:41 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","47","Главная страница содержит заголовок","","Fri Dec 12 11:31:35 UTC 2025","failed","Fri Dec 12 11:31:35 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","68","Главная страница содержит заголовок","","Fri Dec 12 11:31:25 UTC 2025","failed","Fri Dec 12 11:31:25 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","40","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:49 UTC 2025","failed","Fri Dec 12 11:31:49 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","45","Главная страница содержит заголовок","","Fri Dec 12 11:31:25 UTC 2025","failed","Fri Dec 12 11:31:25 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","21","Главная страница содержит заголовок","","Fri Dec 12 11:31:45 UTC 2025","failed","Fri Dec 12 11:31:45 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","75","Главная страница содержит заголовок","","Fri Dec 12 11:31:35 UTC 2025","failed","Fri Dec 12 11:31:35 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","60","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:30 UTC 2025","failed","Fri Dec 12 11:31:30 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","37","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:40 UTC 2025","failed","Fri Dec 12 11:31:40 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","48","Главная страница содержит заголовок","","Fri Dec 12 11:31:26 UTC 2025","failed","Fri Dec 12 11:31:26 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","52","Главная страница содержит заголовок","","Fri Dec 12 11:31:26 UTC 2025","failed","Fri Dec 12 11:31:26 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","59","Главная страница содержит заголовок","","Fri Dec 12 11:31:45 UTC 2025","failed","Fri Dec 12 11:31:45 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","37","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:41 UTC 2025","failed","Fri Dec 12 11:31:41 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","66","Главная страница содержит заголовок","","Fri Dec 12 11:31:25 UTC 2025","failed","Fri Dec 12 11:31:25 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","53","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:30 UTC 2025","failed","Fri Dec 12 11:31:30 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","103","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:40 UTC 2025","failed","Fri Dec 12 11:31:40 UTC 2025","Тест класс","example-diff.spec.ts","",""
"","27","Главная страница содержит заголовок 2","","Fri Dec 12 11:31:49 UTC 2025","failed","Fri Dec 12 11:31:49 UTC 2025","Тест класс","example-diff.spec.ts","",""
