"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1663","Главная страница содержит заголовок 2","","Mon Jan 12 14:33:48 UTC 2026","failed","Mon Jan 12 14:33:50 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","1569","Главная страница содержит заголовок 2","","Mon Jan 12 14:33:47 UTC 2026","failed","Mon Jan 12 14:33:49 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","1763","Главная страница содержит заголовок 2","","Mon Jan 12 14:33:48 UTC 2026","failed","Mon Jan 12 14:33:50 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","7773","Главная страница содержит заголовок","","Mon Jan 12 14:33:34 UTC 2026","failed","Mon Jan 12 14:33:41 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","8055","Главная страница содержит заголовок","","Mon Jan 12 14:33:33 UTC 2026","failed","Mon Jan 12 14:33:42 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","1791","Главная страница содержит заголовок 2","","Mon Jan 12 14:33:48 UTC 2026","failed","Mon Jan 12 14:33:50 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","7756","Главная страница содержит заголовок","","Mon Jan 12 14:33:34 UTC 2026","failed","Mon Jan 12 14:33:41 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","7736","Главная страница содержит заголовок","","Mon Jan 12 14:33:34 UTC 2026","failed","Mon Jan 12 14:33:41 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","6831","Главная страница содержит заголовок","","Mon Jan 12 14:33:33 UTC 2026","failed","Mon Jan 12 14:33:40 UTC 2026","Тест класс","example-diff.spec.ts","",""
"","1320","Главная страница содержит заголовок 2","","Mon Jan 12 14:33:49 UTC 2026","failed","Mon Jan 12 14:33:50 UTC 2026","Тест класс","example-diff.spec.ts","",""
